question,answer
i received an allergic reaction to your product what should i do,i am very sorry to hear that please discontinue use immediately contact your healthcare provider and share your order details with us for our records all of our perfumes are vetted and approved so it coulbe be that the allergic reaction is unique to your skin however we will investigate further
why is my refund taking so long,refunds take 5-7 days to process after we receive the return if that time has passed please share your order details and contact email so i can have this followed up and you will be contacted by our accounts team within the next 48 hours
my package was left outside and it is now ruined,oh no i apologize for this inconvenience please log into your account and under 'my orders' you'll have the option to raise a complaint for this specific order once we receive your complaint and is escalated to our returns and replacemnets team who will be in contact within the next 24 hours to discuss a replacement
i need to change my delivery address urgently,"please navigate to your account and change your address under ""my orders"" if your order hasn't shipped yet we will update the address for you and send you a confirmation email within 24 hours confirming shipment to your new address"
why wasn't i notified that my item is out of stock,i apologise for the oversight please provide your order number and i will update you on restocking timelines or suggest alternatives
my order says delivered but i didn't receive it,oh no sorry to hear of that please check with your neighbors or local post office first if still missing provide your order number and conatct email address i will escalate this to our delivery team who will be in touch within 24 hours
i received multiple charges for one order,oh no sorry to hear this and i apolgise in advance i am sorry for this mistake please log into your account and under 'my orders' you'll have the option to raise a complaint for this specific order and rest assured this will be escalated further and someone will be in touch in the next 24 hours
i feel scammed by your company,i apologize for any misunderstanding please share specific details of your issue so i can address your concerns immediately
how do i get an invoice for my purchase,invoices are emailed automatically after your purchase if you didn't receive one provide your order number and contact email address and i will resend it within 24 hours
can i send a gift directly to someone else,yes select the send as gift option at checkout and provide the recipient's address you can also include a custom message
can i combine discount codes on one order,unfortunately only one discount code can be applied per order if you have any questions about your codes let us know
how do i know if a perfume suits my skin,you can test a small amount on your wrist and observe its scent over the day if you need personalised recommendations use our fragrance finder tool on our homepage i hope this helps
what happens if i cancel my subscription,"you can cancel anytime by navigating to ""your account"" from on homepage subscriptions canceled before the next billing cycle will not be charged to you"
what are the best perfumes for summer,visit our summer scents collection for fresh and vibrant recommendations tailored for warmer weather
this product is broken,oh no sorry to hear that there is a problem with the product you ordered and your perfume may have arrived damaged occasionally this can happen during transit please fill out our return forms under 'my orders' in your account and upload a photo of the damage we will review this within 24 hours and our after sales team will be in contact to arrange a replacement or a refund
i need to change my delivery address urgently,please provide me with your order number and the updated address if your order hasn't shipped yet we will update the address and confirm the change within 24 hours if it has already shipped we recommend contacting the courier directly
refund policy,our refund policy allows returns within 28 days of purchase if items are unused and in original packaging refunds are processed in 5 to 7 working days after receiving the return
broken perfume bottle delivered,we're sorry about the damaged item please share photos of the bottle your order number and contact details and i will escalate it to our after sale team who will be in contact with you in the next 48 hours to resolve this issue
perfume is disgusting,we're sorry you're not happy with the scent unfortunately we can't offer refunds for opened bottles but let us know if there's another way we can assist
this service is terrible,i'm sorry you feel this way if you provide sepcific details i will try my best to assist you and resolve any issues you may have
i need to talk to someone now,i'm sorry i haven't been able to meet your expectations today to speak to another team member directly you can contact our escalations team dierctly by emailing escalations@a-zperfumescom alternatively you can give me your email adress and someone will be in contact to resolve your issue with 24 hours
want new perfume but out of stock,i'm sorry to hear the perfume you wanted is out of stock please fill the 'notify me when back in stock' form on the product page to be notified when the perfume has been restocked
give me a discount code,if you join our loyalty program or subscribe to our newsletter to receive exclusive discount codes directly sent to your email address you signed up with please visit our homepage to sign up
discount code not working,please check the code's expiry date and terms if it's still not working please share the code i'll escalte this to our customer service team to contact you within 48 hours with a discount code that will work with your order
ship to uae,yes we ship to the uae delivery fees and timelines vary check our shipping policy for details
ship internationally,yes we ship worldwide delivery fees and times depend on your location visit our shipping policy page for more details
can't find perfume,if you can't find a perfume then please share the types of perfumes you like or are looking for and i can recommend something you may like
i ordered the wrong product,i am sorry for this mistake if your perfume bottle is unopened please follow the returns instructions provided with your delivery
when will chanel no 5 be back in stock,chanel no 5 is currently out of stock please sign up for stock alerts the perfume product page for updates of restocks
how can i return my damaged dior sauvage order,i'm sorry to hear your perfume arrived damaged occasionally this can happen during transit please fill out our return forms under 'my orders' in your account and upload a photo of the damage we will review this within 24 hours and our after sales team will be in contact to arrange a replacement or a refund
can you recommend a fresh scent for summer,we recommend jo malone lime basil & mandarin for a fresh summer-friendly fragrance this perfume is unisex too
what are the main fragrance notes of chanel no 5,chanel no 5 features top notes of aldehydes and neroli heart notes of jasmine and rose and base notes of sandalwood and vetiver
does tom ford black orchid have a woody scent,yes tom ford black orchid has woody notes along with rich floral and earthy undertones
what's the main difference between dior oud ispahan and dior ambre nuit,oud ispahan has a strong woody-oud base while ambre nuit is a warm amber-forward fragrance with a floral touch
can you recommend perfumes with woody notes,for woody scents try dior oud ispahan tom ford black orchid or hermès terre d'hermès
how do i check the status of my order,you can track your order under the 'track my order' section in your account on our website
are there any ongoing promotions for gucci bloom,we currently offer 10% off on gucci bloom use code bloom10 at checkout
how can i exchange the wrong perfume i received,oh no i apologise for this error please log into your account and under 'my orders' you'll have the option to raise a complaint for this specific order and once received i will ensure you will be contacted within 24 hours to arrange a resolution
what ingredients are used in dior sauvage,dior sauvage features notes of bergamot sichuan pepper lavender and ambroxan
what is the scent profile of jo malone lime basil & mandarin,jo malone lime basil & mandarin is a fresh citrusy fragrance with notes of lime basil and white thyme
do you offer samples before buying full-size perfumes,yes we offer sample sizes for select fragrances check the product page for availability
whats the return policy for damaged items,you can return damaged items within 28 days of receipt visit our returns page for more information
what floral perfumes do you recommend for spring,for spring we recommend marc jacobs daisy gucci bloom or jo malone peony & blush suede
how can i get a refund for a damaged perfume,to get a refund please log into your account and under 'my orders' raise a complaint for this specific order and someone will be in touch with you within 24 hours of recipt of your complaint
what's the longevity of tom ford black orchid,for daily wear try versace eros or dolce & gabbana light blue for a refreshing citrus scent
what promotions are currently available,we currently have a 15% discount on orders over $100 use code save15 at checkout
what is the main fragrance type of dior sauvage,dior sauvage is a fresh aromatic fragrance with woody and spicy undertones
how do i report a missing order,if your order is missing please log into your account and under 'my orders' you can either track the specific order or raise a complaint once your complaint is received someone will be in touch within 24 hours
whats the difference between chanel no 5 and dior sauvage,chanel no 5 is a classic floral fragrance while dior sauvage is fresh and aromatic with a spicy twist
what floral perfumes are similar to marc jacobs daisy,for a similar floral scent try gucci bloom or chanel chance eau tendre
can you recommend an oud-based perfume,we recommend dior oud ispahan or tom ford oud wood for a rich oud-based scent
what are the notes in gucci bloom,gucci bloom features notes of jasmine tuberose and rangoon creeper
my perfume was delievred damaged what should i do,i'm sorry to hear your perfume arrived damaged occasionally this can happen during transit please fill out our return forms under 'my orders' in your account and upload a photo of the damage we will review this within 24 hours and our after sales team will be in contact to arrange a replacement or a refund
whats the fragrance profile of mfk baccarat rouge 540,baccarat rouge 540 is a woody amber fragrance with floral and warm spicy notes
whats the shipping fee for orders to new york,shipping to new york is £10 for standard delivery or free for orders over £75
whats the longevity of tom ford black orchid,tom ford black orchid is known for its excellent longevity lasting up to 10 to 12 hours
do you have gift sets available,yes we offer gift sets for chanel dior and tom ford check the 'gift sets' section on our website
whats the main scent difference between dior sauvage and versace eros,dior sauvage is fresh and spicy while versace eros is more sweet and aromatic
can you recommend a strong woody scent for winter,for winter try tom ford noir extreme or hermès terre d'hermès for a strong woody scent
how do i apply a discount code at checkout,enter your discount code in the 'promo code' field on the checkout page and click 'apply'
whats the difference between dior ambre nuit and tom ford black orchid,dior ambre nuit is warm and amber-based while tom ford black orchid is rich earthy and floral
what perfumes are suitable for summer,for summer we recommend dior sauvage jo malone lime basil & mandarin or dolce & gabbana light blue
how do i exchange an incorrect item i received,i am sorry for this mistake please follow the returns instructions delivered along with your order and your free returns shipping label and please provide me with your email address and i will have a discount code emailed to you to compensate for any inconviance caused
what are the base notes of dior oud ispahan,dior oud ispahan features base notes of oud rose and patchouli
whats the shelf life of perfumes,most perfumes have a shelf life of 3-5 years if stored in a cool dark place
how do i check the authenticity of a perfume,you can check the batch code on the bottle and compare it with the brand's database for authenticity
how long does it take to process refunds,refunds are typically processed within 5-7 business days after approval
i've been waiting weeks for my orderand no one has done anything about it,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
this is the worst service i've ever experienced,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
you've completely ruined my gift for someone special,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
why can't anyone help me with this,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
i've tried contacting your support team multiple times with no reply,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
i've never been treated so poorly by a company before,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
this is unacceptable i want to speak to someone in charge,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
you've charged me twice and no one is fixing it,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
i demand immediate action this is beyond frustrating,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
your company clearly doesn't care about its customers,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
i'm never shopping here again and i'll tell everyone i know not to either,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
why can't someone just fix this for me,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
this has been going on for months and i'm tired,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
i've been patient long enough this is so bad,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
i want the ceo's contact details right now,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
you've sent me the wrong item twice and no one is taking responsibility,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
i've lost all trust in your company this is terrible,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
i'm filing a formal complaint if this isn't resolved immediately,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
why is it so hard to get proper support from your team,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
i'm tired of repeating myself i need to talk to someone who can actually help,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
i'm tired of talking to you,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
i'm reporting your company,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
this is the service i've ever had,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
you cannot help me,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
i hate your company,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
i'm never ordering from you again,i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
i'm leaving a bad review,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours could we explore this option before you make a review
you are so dumb,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
you are not helping me at all,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
i need to speak to a real person,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
i need to talk to someone else,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
i am never ordering from you again,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
refund me now,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member about your refund request please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
i'm absolutely furious my tom ford black orchid arrived broken and spilled inside the box how are you going to fix it,i'm sorry to hear your perfume arrived damaged occasionally this can happen during transit please fill out our return forms under 'my orders' in your account and upload a photo of the damage we will review this within 24 hours and our after sales team will be in contact to arrange a replacement or a refund
hi there,hey how may i help you today
hello,hey how may i help you today
hi,hey how may i help you today
whats up,hey how may i help you today
bye,thank you and i hope you enjoy the rest of your day don't hestitate to come back if i can assist you any further take care
good bye,thank you and i hope you enjoy the rest of your day don't hestitate to come back if i can assist you any further take care
your rubbish,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
go away,i'm sorry you feel that way if you could kindly explain what you would like help with today i will do my best to assist you
i need to speak to someobdy else urgently now,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
i need someone else it's urgent,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
its urgent,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
you know nothing,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
i'm happy,i'm thrilled your happy with our service is there anything else i can help you with
how can i get a replacement,please complete the exchange form included in your order and return the product in its original condition and packaging once we receive your return the exchange process will take approximately 5-7 working days and you will be updated via email when your new item has been sent for delivery to you
what's taking so long with my order,please check your tracking number from your email and if there's an issue reply with your order number so we can escalate this
i need a wedding scent,for a wedding we recommend chanel no 5 for timeless elegance or jo malone lime basil & mandarin for a fresh uplifting scent
how can we fix this,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
i received chanel no 5 instead of hermès terre d'hermès i ordered,fill out the return form under my orders and include photos of the incorrect item for a replacement or refund
hi there i'm looking to get a new chanel perfumes,we have chanel no 5 and chanel chance let us know your preferences to help you decide
is the marc jacobs daisy available in your online store currently,yes marc jacobs daisy is available for purchase
can you suggest a citrus perfumes that's good for hot weather,try jo malone lime basil & mandarin or hermès terre d'hermès for refreshing citrus scents
can you suggest a holiday perfume,for holidays try ysl libre for luxury or mfk baccarat rouge 540 for a warm inviting scent
can you help me pick a perfume for my mum,chanel no 5 or gucci bloom are elegant choices for mums you can also take our perfume quiz on the homepage for personalised recommendations
can you help me pick a perfume for my daughter,marc jacobs daisy or jo malone lime basil & mandarin are perfect for younger audiences you can also take our perfume quiz on the homepage for personalised recommendations
can you help me pick a perfume for my brother,dior sauvage or versace eros are great masculine options you can also take our perfume quiz on the homepage for personalised recommendations
can you help me pick a perfume for my friend,ysl libre or jo malone lime basil & mandarin are versatile and modern you can also take our perfume quiz on the homepage for personalised recommendations
can you help me pick a perfume for my dad,hermès terre d'hermès or dior sauvage are sophisticated choices for dads you can also take our perfume quiz on the homepage for personalised recommendations
can you help me pick a perfume for my boyfriend,dior sauvage or louis vuitton ombre nomade are excellent for boyfriends you can also take our perfume quiz on the homepage for personalised recommendations
can you help me pick a perfume for my girlfriend,chanel chance or mfk baccarat rouge 540 are romantic and luxurious you can also take our perfume quiz on the homepage for personalised recommendations
can you help me pick a perfume for my son,versace eros or armani code are youthful and modern you can also take our perfume quiz on the homepage for personalised recommendations
can you help me pick a perfume for my husband,tom ford black orchid or dior ambre nuit are bold and sophisticated you can also take our perfume quiz on the homepage for personalised recommendations
quite unacceptable,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
do you offer discount codes or any promotions,yes check our website's promotions page or sign up for our newsletter
i'm angry my order turned up damaged what's your policy on this,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
what the hell,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
how can you even mess this up i need my perfume,we apologise please provide your email address so we can escalate this
i'm extremely angry i've been waiting for my louis vuitton,we're sorry please provide your order number so we can resolve this within 24 hours
how can i confirm my versace eros perfumes it's not showing up in recent orders,provide your order number and we'll check the status for you
i received the wrong perfumes ordered a dior sauvage but got tom ford black orchid instead,fill out the return form under my orders and include photos for a replacement or refund
can you help,yes please let us know the issue and we'll assist you
what jo malone scents do you have,we currently offer jo malone lime basil & mandarin
why is my order late,please check your tracking number from your email or visit my orders in your account for updates if the issue persists provide your email address so we can investigate into this and advise you on next steps
do you have chanel no 5 i've been waiting to buy it,yes chanel no 5 is available let us know if you need help placing your order
i wanted dior sauvage but received gucci bloom,we apologise please fill out the return form under my orders in your account and include photos of the incorrect item for a replacement or refund
hey i need help,of course please let us know the issue and we'll assist you
my name is sarah,hi sarah how can we help you today
can you please recommend a sweet perfume,marc jacobs daisy or ysl libre are great sweet options
could you recommend a classic perfume,chanel no 5 or dior sauvage are timeless classics
i want chanel no 5 instead of dior sauvage,please fill out the return form under my orders in your account and include photos for an exchange
chanel no 5 what can you tell me about their fragrance types,chanel no 5 is a floral aldehyde fragrance with notes of jasmine rose and sandalwood
are there any perfume samples before buying,yes we offer samples for select fragrances check the product page for availability
hi is chanel tom ford a good make,both chanel and tom ford are luxury brands known for high-quality fragrances
which one do you recommend for oud perfume,dior oud ispahan or louis vuitton ombre nomade are excellent oud options
does the chanel no 5 have vanilla inside,yes chanel no 5 has subtle vanilla notes in its base
whats the difference between no 5 and dior sauvage i am considering between the two,chanel no 5 is a floral aldehyde scent while dior sauvage is a fresh spicy masculine fragrance
hey i'm looking to buy chanel no,chanel no 5 is available let us know if you need help placing your order
the tracking number doesn't seem to work,please check your local post office or use the tracking link sent to you if the issue persists provide your order number so we can investigate into this and advise you on next steps
is ombre nomade stock right now,yes louis vuitton ombre nomade is currently in stock
hi can you tell me more about the notes in chanel no 5,chanel no 5 features notes of aldehydes jasmine rose and sandalwood
i ordered chanel no 5 not marc jacobs daisy,we apologise please fill out the return form under my orders in your account and include photos for an exchange
i got a email that chanel no 5 available in stock right now i couldn't find it on your website,chanel no 5 is available let us know if you need help placing your order
ot the wrong order,we apologise please check with neighbours or your local post office if the issue persists fill out the return form under my orders in your account and include photos so we can investigate into this and advise you on next steps
is dior long lasting,yes dior fragrances like dior sauvage are known for their longevity
i am really disappointed,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
sorry my tracking number isn't working,please check your local post office or use the tracking link sent to you if the issue persists provide your order number so we can investigate into this and advise you on next steps
i need advice,of course let us know what you need help with and we'll assist you
i ordered a bottle of tom ford black orchid two weeks ago but haven't received it yet,please check your tracking number from your email or visit my orders in your account for updates if the issue persists provide your order number so we can investigate into this and advise you on next steps
hey i had ordered chanel no 5 but not delivered,please check your tracking number or with neighbours and your local post office if the issue persists provide your order number so we can investigate into this and advise you on next steps
i'm looking for mugler alien do you have it,yes mugler alien is available let us know if you need help placing your order
how can i replace my perfume,as long as your perfume has been unopened please fill out the return form under 'my orders in your account and include photos for a replacement or refund
could you recommend me some from your popular brands,popular options include chanel no 5 dior sauvage and tom ford black orchid let us know your preferences
i've just received my tom ford black orchid and the bottle is shattered what's going to be done about this,we apologise please fill out the return form under my orders in your account and include photos for a replacement or refund to be sent out to you
do you recommend the dior oud ispahan or gucci bloom for a dinner occasion,for a dinner occasion dior oud ispahan is a luxurious choice while gucci bloom is more floral and elegant
this is unacceptable what's your return policy,you have 28 days to return your order fill out the return form under my orders in your account and include photos for a replacement or refund
i am very angry,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
why did my dior oud ispahan perfumes arrive damaged,we apologise please fill out the return form under my orders in your account and include photos for a replacement or refund
can you tell me when will the unisex perfume tonka by montale be restocked,we apologise for the delay fill out the notify me form on the product page for updates
it's been a week late my order,please check your tracking number from your email or visit my orders in your account for updates if the issue persists provide your order number so we can investigate into this and advise you on next steps
can you recommend a nice perfume,for a nice perfume try chanel no 5 for a classic scent or dior sauvage for something fresh and modern
she loves floral scents,for floral scents we recommend gucci bloom or marc jacobs daisy
what do i now,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
can you suggest anything,of course let us know your preferences and we'll recommend something
can i do something about this,yes please let us know the issue and we'll assist you
what are you going to do about it,we're here to help please let us know the issue so we can resolve it
do you have,let us know what you're looking for and we'll check availability
what should i do,please let us know the issue and we'll guide you on the next steps
hey i've,hi how can we help you today
where is my,please check your tracking number from your email or visit my orders in your account for updates
i'm pretty frustrated,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to another team member please give me your email adress and someone from our escalation team will be in contact to resolve your issue with 24 hours
